AGI_identifier	gene_name	gene_annotation
AT1G01350	AT1G01350	NA
AT1G01355	AT1G01355	NA
AT1G01360	AT1G01360:PYL9	PYL9:PYRABACTIN RESISTANCE 1-LIKE 9;RCAR1:regulatory component of ABA receptor 1
AT1G01370	AT1G01370:HTR12	CENH3:CENTROMERIC HISTONE H3;HTR12
AT1G01380	AT1G01380:ETC1	ETC1:ENHANCER OF TRY AND CPC 1
AT1G01390	AT1G01390:UGT72B2	NA
AT1G01400	AT1G01400	NA
AT1G01410	AT1G01410:APUM22	APUM22:pumilio 22;PUM22:pumilio 22
AT1G01420	AT1G01420:UGT72B3	UGT72B3:UDP-glucosyl transferase 72B3
AT1G01430	AT1G01430:TBL25	TBL25:TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	AT1G01440	NA
AT1G01450	AT1G01450	NA
AT1G01453	AT1G01453	NA
AT1G01460	AT1G01460:PIP5K10	ATPIPK11;PIPK11
AT1G01470	AT1G01470:LEA14	LEA14:LATE EMBRYOGENESIS ABUNDANT 14;LSR3:LIGHT STRESS-REGULATED 3
AT1G01471	AT1G01471	NA
AT1G01480	AT1G01480:ACS2	ACS2:1-amino-cyclopropane-1-carboxylate synthase 2;AT-ACC2
AT1G01490	AT1G01490	NA
AT1G01500	AT1G01500	NA
AT1G01510	AT1G01510:AN	AN:ANGUSTIFOLIA;DOQ:DETORQUEO
AT1G01520	AT1G01520:RVE3	ASG4:ALTERED SEED GERMINATION 4
AT1G01530	AT1G01530:AGL28	AGL28:AGAMOUS-like 28
AT1G01540	AT1G01540	NA
AT1G01550	AT1G01550:BPS1	BPS1:BYPASS 1
AT1G01560	AT1G01560:MPK11	ATMPK11:MAP kinase 11;MPK11:MAP kinase 11
AT1G01570	AT1G01570	NA
AT1G01580	AT1G01580:FRO2	ATFRO2:FERRIC REDUCTION OXIDASE 2;FRD1:FERRIC CHELATE REDUCTASE DEFECTIVE 1;FRO2:ferric reduction oxidase 2
AT1G01590	AT1G01590:FRO1	ATFRO1:FERRIC REDUCTION OXIDASE 1;FRO1:ferric reduction oxidase 1
AT1G01600	AT1G01600:CYP86A4	"CYP86A4:""cytochrome P450, family 86, subfamily A, polypeptide 4"""
AT1G01610	AT1G01610:GPAT4	ATGPAT4:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4;GPAT4:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4
AT1G01620	AT1G01620:PIP1-3	PIP1;3:PLASMA MEMBRANE INTRINSIC PROTEIN 1;3;PIP1C:plasma membrane intrinsic protein 1C;TMP-B
AT1G01630	AT1G01630	NA
AT1G01640	AT1G01640	NA
AT1G01650	AT1G01650:SPPL4	ATSPPL4:ARABIDOPSIS THALIANA SIGNAL PEPTIDE PEPTIDASE-LIKE 4;SPPL4:SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660	AT1G01660:PUB55	NA
AT1G01670	AT1G01670:PUB56	NA
AT1G01680	AT1G01680:PUB54	ATPUB54:PLANT U-BOX 54;PUB54:plant U-box 54
AT1G01690	AT1G01690:ATPRD3	ATPRD3:ARABIDOPSIS THALIANA PUTATIVE RECOMBINATION INITIATION DEFECTS 3;PRD3:putative recombination initiation defects 3
AT1G01695	AT1G01695	TRM33:TON1 Recruiting Motif 33
AT1G01700	AT1G01700:ROPGEF2	ATROPGEF2;ROPGEF2:ROP (rho of plants) guanine nucleotide exchange factor 2
AT1G01710	AT1G01710	NA
AT1G01720	AT1G01720:NAC002	ANAC002:Arabidopsis NAC domain containing protein 2;ATAF1
AT1G01725	AT1G01725	NA
AT1G01730	AT1G01730	NA
AT1G01740	AT1G01740	BSK4:brassinosteroid-signaling kinase 4
AT1G01750	AT1G01750:ADF10	ADF11:actin depolymerizing factor 11
AT1G01760	AT1G01760	AtTAD1;TAD1:ortholog of yeast Tad1
AT1G01770	AT1G01770	NA
AT1G01780	AT1G01780:PLIM2B	PLIM2b:PLIM2b
AT1G01790	AT1G01790:KEA1	ATKEA1:K+ EFFLUX ANTIPORTER 1;KEA1:K+ efflux antiporter 1
AT1G01800	AT1G01800	NA
AT1G01810	AT1G01810	NA
AT1G01820	AT1G01820:PEX11C	PEX11C:peroxin 11c
AT1G01830	AT1G01830	NA
AT1G01840	AT1G01840	NA
AT1G01860	AT1G01860:PFC1	PFC1:PALEFACE 1
AT1G01880	AT1G01880:GEN1	NA
AT1G01900	AT1G01900:SBTI1.1	ATSBT1.1;SBTI1.1
AT1G01910	AT1G01910	NA
AT1G01920	AT1G01920	NA
AT1G01930	AT1G01930	NA
AT1G01940	AT1G01940:CYP18-1	NA
AT1G01950	AT1G01950:ARK2	ARK2:armadillo repeat kinesin 2;AtKINUb:Arabidopsis thaliana KINESIN Ungrouped clade, gene B
AT1G01960	AT1G01960:BIG3	EDA10:embryo sac development arrest 10
AT1G01970	AT1G01970	NA
AT1G01980	AT1G01980	NA
AT1G01990	AT1G01990	NA
AT1G02000	AT1G02000:GAE2	GAE2:UDP-D-glucuronate 4-epimerase 2
AT1G02010	AT1G02010:SEC1A	SEC1A:secretory 1A
AT1G02020	AT1G02020	NA
AT1G02030	AT1G02030:ZAT1	NA
AT1G02040	AT1G02040	NA
AT1G02050	AT1G02050:PKSA	LAP6:LESS ADHESIVE POLLEN 6;PSKA:polyketide synthase A
AT1G02060	AT1G02060	NA
AT1G02065	AT1G02065:SPL8	SPL8:squamosa promoter binding protein-like 8
AT1G02070	AT1G02070	NA
AT1G02074	AT1G02074	NA
AT1G02080	AT1G02080	NA
AT1G02090	AT1G02090:CSN7	ATCSN7:ARABIDOPSIS THALIANA COP9 SIGNALOSOME SUBUNIT 7;COP15:CONSTITUTIVE PHOTOMORPHOGENIC 15;CSN7:COP9 SIGNALOSOME SUBUNIT 7;FUS5:FUSCA 5
AT1G02100	AT1G02100	SBI1:SUPPRESSOR OF BRI1
AT1G02110	AT1G02110	NA
AT1G02120	AT1G02120:VAD1	VAD1:VASCULAR ASSOCIATED DEATH1
AT1G02130	AT1G02130:RABD2A	ARA-5:RAS 5;ARA5:ARABIDOPSIS RAS 5;ATRAB1B:ARABIDOPSIS THALIANA RESPONSIVE TO ABSCISIC ACID 1B;ATRABD2A:ARABIDOPSIS THALIANA RAB D2A;RA-5:RAS 5;RABD2A:RAB D2A
AT1G02140	AT1G02140:MEE63	HAP1:HAPLESS 1;MAGO:MAGO NASHI;MEE63:MATERNAL EFFECT EMBRYO ARREST 63
AT1G02145	AT1G02145:ALG12	ALG12:homolog of asparagine-linked glycosylation 12;EBS4:EMS-MUTAGENIZED BRI1(BRASSINOSTEROID INSENSITIVE 1) SUPPRESSOR 4
AT1G02150	AT1G02150	NA
AT1G02160	AT1G02160	NA
AT1G02170	AT1G02170:AMC1	ATMC1:ARABIDOPSIS THALIANA METACASPASE 1;AtMCP1b:metacaspase 1b;ATMCPB1:ARABIDOPSIS THALIANA METACASPASE 1B;LOL3:LSD ONE LIKE 3;MC1:metacaspase 1;MCP1b:metacaspase 1b
AT1G02180	AT1G02180	NA
AT1G02190	AT1G02190	NA
AT1G02205	AT1G02205:CER1	CER1:ECERIFERUM 1;CER22:ECERIFERUM 22
AT1G02210	AT1G02210	NA
AT1G02220	AT1G02220:NAC003	ANAC003:NAC domain containing protein 3;NAC003:NAC domain containing protein 3
AT1G02230	AT1G02230:NAC004	ANAC004:NAC domain containing protein 4;NAC004:NAC domain containing protein 4
AT1G02250	AT1G02250:NAC005	anac005:NAC domain containing protein 5;NAC005:NAC domain containing protein 5
AT1G02260	AT1G02260	NA
AT1G02270	AT1G02270	NA
AT1G02280	AT1G02280:TOC33	ATTOC33;PPI1:PLASTID PROTEIN IMPORT 1;TOC33:translocon at the outer envelope membrane of chloroplasts 33
AT1G02290	AT1G02290	NA
AT1G02300	AT1G02300	NA
AT1G02305	AT1G02305	NA
AT1G02310	AT1G02310:MAN1	MAN1:endo-beta-mannanase 1
AT1G02320	AT1G02320	NA
AT1G02330	AT1G02330	NA
AT1G02335	AT1G02335:GL22	GL22:germin-like protein subfamily 2 member 2 precursor;PDGLP2:PLASMODESMAL GERMIN-LIKE PROTEIN 2
AT1G02340	AT1G02340:HFR1	FBI1;HFR1:LONG HYPOCOTYL IN FAR-RED;REP1:REDUCED PHYTOCHROME SIGNALING 1;RSF1:REDUCED SENSITIVITY TO FAR-RED LIGHT 1
AT1G02350	AT1G02350	NA
AT1G02360	AT1G02360	NA
AT1G02370	AT1G02370	NA
AT1G02380	AT1G02380	NA
AT1G02390	AT1G02390:GPAT2	ATGPAT2:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2;GPAT2:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2
AT1G02391	AT1G02391	NA
AT1G02400	AT1G02400:GA2OX6	ATGA2OX4:Arabidopsis thaliana gibberellin 2-oxidase 4;ATGA2OX6:ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6;DTA1:DOWNSTREAM TARGET OF AGL15 1;GA2OX6:gibberellin 2-oxidase 6
AT1G02405	AT1G02405	NA
AT1G02410	AT1G02410:COX11	NA
AT1G02420	AT1G02420	NA
AT1G02430	AT1G02430:ATARFD1B	ARFD1B:ADP-ribosylation factor D1B;ATARFD1B:ADP-ribosylation factor D1B
AT1G02440	AT1G02440:ATARFD1A	ARFD1A:ADP-ribosylation factor D1A;ATARFD1A:ADP-ribosylation factor D1A
AT1G02450	AT1G02450:NIMIN-1	NIMIN-1;NIMIN1:NIM1-interacting 1
AT1G02460	AT1G02460	NA
AT1G02470	AT1G02470	NA
AT1G02475	AT1G02475	NA
AT1G02490	AT1G02490	NA
AT1G02500	AT1G02500:SAM1	AtSAM1;MAT1;METK1;SAM-1:S-ADENOSYLMETHIONINE SYNTHETASE-1;SAM1:S-adenosylmethionine synthetase 1
AT1G02510	AT1G02510:TPK4	ATKCO4:CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4;ATTPK4;KCO4:CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4;TPK4
AT1G02520	AT1G02520:ABCB11	ABCB11:ATP-binding cassette B11;MDR8:multi-drug resistance 8;PGP11:P-glycoprotein 11
AT1G02530	AT1G02530:ABCB12	ABCB12:ATP-binding cassette B12;PGP12:P-glycoprotein 12
AT1G02540	AT1G02540	NA
AT1G02550	AT1G02550	NA
AT1G02560	AT1G02560:CLPP5	CLPP5:nuclear encoded CLP protease 5;NCLPP1:NUCLEAR-ENCODED CLPP 1;NCLPP5:NUCLEAR CLPP 5
AT1G02570	AT1G02570	NA
AT1G02575	AT1G02575	NA
AT1G02580	AT1G02580:MEA	EMB173:EMBRYO DEFECTIVE 173;FIS1:FERTILIZATION INDEPENDENT SEED 1;MEA:MEDEA;SDG5:SET DOMAIN-CONTAINING PROTEIN 5
AT1G02590	AT1G02590	NA
AT1G02610	AT1G02610	NA
AT1G02620	AT1G02620	NA
AT1G02630	AT1G02630:ETN8	NA
AT1G02640	AT1G02640:BXL2	ATBXL2:BETA-XYLOSIDASE 2;BXL2:beta-xylosidase 2
AT1G02650	AT1G02650	NA
AT1G02660	AT1G02660	NA
AT1G02670	AT1G02670	NA
AT1G02680	AT1G02680:TAF13	TAF13:TBP-associated factor 13
AT1G02690	AT1G02690:IMPA6	IMPA-6:importin alpha isoform 6
AT1G02700	AT1G02700	NA
AT1G02710	AT1G02710	NA
AT1G02720	AT1G02720:GATL5	GATL5:galacturonosyltransferase-like 5
AT1G02730	AT1G02730:CSLD5	ATCSLD5:cellulose synthase-like D5;CSLD5:CELLULOSE SYNTHASE LIKE D5;CSLD5:cellulose synthase-like D5;SOS6:SALT OVERLY SENSITIVE 6
AT1G02740	AT1G02740:MRG2	NA
AT1G02750	AT1G02750:DI19-2	NA
AT1G02770	AT1G02770	NA
AT1G02780	AT1G02780:RPL19A	emb2386:embryo defective 2386
AT1G02790	AT1G02790:PGA3	PGA4:polygalacturonase 4
AT1G02800	AT1G02800:CEL2	ATCEL2:cellulase 2;CEL2;CEL2:cellulase 2
AT1G02810	AT1G02810:PME7	NA
AT1G02813	AT1G02813	NA
AT1G02816	AT1G02816	NA
AT1G02820	AT1G02820	AtLEA3;LEA3:late embryogenesis abundant 3
AT1G02830	AT1G02830:RPL22A	NA
AT1G02840	AT1G02840:SR34	At-SR34:Serine/Arginine-Rich Protein Splicing Factor 34;ATSRP34;SR1;SR34:Serine/Arginine-Rich Protein Splicing Factor 34;SRP34
AT1G02850	AT1G02850:BGLU11	BGLU11:beta glucosidase 11
AT1G02860	AT1G02860:BAH1	BAH1:BENZOIC ACID HYPERSENSITIVE 1;NLA:nitrogen limitation adaptation
AT1G02870	AT1G02870	NA
AT1G02880	AT1G02880:TPK1	TPK1:thiamin pyrophosphokinase1
AT1G02890	AT1G02890	NA
AT1G02900	AT1G02900:RALF1	ATRALF1:RAPID ALKALINIZATION FACTOR 1;RALF1:rapid alkalinization factor 1;RALFL1:RALF-LIKE 1
AT1G02910	AT1G02910:LPA1	LPA1:LOW PSII ACCUMULATION1
AT1G02920	AT1G02920:GSTF7	ATGST11:ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11;ATGSTF7;ATGSTF8;GST11:GLUTATHIONE S-TRANSFERASE 11;GSTF7:glutathione S-transferase 7
AT1G02930	AT1G02930:GSTF6	ATGST1:ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 1;ATGSTF3:ARABIDOPSIS THALIANA GLUATIONE S-TRANSFERASE F3;ATGSTF6:GLUTATHIONE S-TRANSFERASE;ERD11:EARLY RESPONSIVE TO DEHYDRATION 11;GST1:GLUTATHIONE S-TRANSFERASE 1;GSTF6:glutathione S-transferase 6
AT1G02940	AT1G02940:GSTF5	ATGSTF5:GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5;GSTF5:glutathione S-transferase (class phi) 5
AT1G02950	AT1G02950:GSTF4	ATGSTF4:glutathione S-transferase F4;GST31:GLUTATHIONE S-TRANSFERASE 31;GSTF4:glutathione S-transferase F4
AT1G02960	AT1G02960	NA
AT1G02965	AT1G02965	NA
AT1G02970	AT1G02970:WEE1	ATWEE1;WEE1:WEE1 kinase homolog
AT1G02980	AT1G02980:CUL2	ATCUL2;CUL2:cullin 2
AT1G02990	AT1G02990	NA
AT1G03000	AT1G03000:PEX6	PEX6:peroxin 6
AT1G03010	AT1G03010	NA
AT1G03020	AT1G03020:GRXS1	NA
AT1G03022	AT1G03022	NA
AT1G03030	AT1G03030	NA
AT1G03040	AT1G03040:BHLH7	NA
AT1G03050	AT1G03050	NA
AT1G03055	AT1G03055:D27	AtD27:A. thaliana homolog of rice D27;D27:DWARF27
AT1G03060	AT1G03060:SPI	SPI:SPIRRIG
AT1G03070	AT1G03070	AtLFG4;LFG4:LIFEGUARD 4
AT1G03080	AT1G03080:NET1D	NET1D:Networked 1D
AT1G03090	AT1G03090:MCCA	MCCA
AT1G03100	AT1G03100	NA
AT1G03103	AT1G03103	NA
AT1G03106	AT1G03106	NA
AT1G03110	AT1G03110:TRM82	AtTRM82;TRM82:tRNA modification 82
AT1G03120	AT1G03120:ATRAB28	ATRAB28:responsive to abscisic acid 28;RAB28:responsive to abscisic acid 28
AT1G03130	AT1G03130:PSAD2	PSAD-2:photosystem I subunit D-2
AT1G03140	AT1G03140	NA
AT1G03150	AT1G03150	NA
AT1G03160	AT1G03160:FZL	FZL:FZO-like
AT1G03170	AT1G03170:FAF2	FAF2:FANTASTIC FOUR 2;FTM5:FLORAL TRANSITION AT THE MERISTEM5
AT1G03180	AT1G03180	NA
AT1G03190	AT1G03190:UVH6	ATXPD:ARABIDOPSIS THALIANA XERODERMA PIGMENTOSUM GROUP D;UVH6:ULTRAVIOLET HYPERSENSITIVE 6
AT1G03200	AT1G03200	NA
AT1G03210	AT1G03210	NA
AT1G03220	AT1G03220	NA
AT1G03230	AT1G03230	NA
AT1G03240	AT1G03240	NA
AT1G03250	AT1G03250	NA
AT1G03260	AT1G03260	NA
AT1G03270	AT1G03270:CBSDUF4	NA
AT1G03280	AT1G03280	NA
AT1G03290	AT1G03290	NA
AT1G03300	AT1G03300:ATDUF1	ATDUF1:DOMAIN OF UNKNOWN FUNCTION 724 1;DUF1:DOMAIN OF UNKNOWN FUNCTION 724 1
AT1G03310	AT1G03310:ISA2	AtBE2;ATISA2:ARABIDOPSIS THALIANA ISOAMYLASE 2;BE2:BRANCHING ENZYME 2;DBE1:debranching enzyme 1;ISA2
AT1G03320	AT1G03320	NA
AT1G03330	AT1G03330:LSM2	LSM2:SM-like 2
AT1G03340	AT1G03340	NA
AT1G03350	AT1G03350	NA
AT1G03360	AT1G03360:ATRRP4	ATRRP4:ribosomal RNA processing 4;RRP4:ribosomal RNA processing 4
AT1G03365	AT1G03365:RF4	NA
AT1G03370	AT1G03370	NA
AT1G03380	AT1G03380:ATG18G	ATATG18G:homolog of yeast autophagy 18 (ATG18) G;ATG18G:homolog of yeast autophagy 18 (ATG18) G
AT1G03390	AT1G03390	NA
AT1G03400	AT1G03400	NA
AT1G03410	AT1G03410:2A6	2A6
AT1G03430	AT1G03430:AHP5	AHP5:histidine-containing phosphotransfer factor 5
AT1G03440	AT1G03440	NA
AT1G03445	AT1G03445:BSU1	BSU1:BRI1 SUPPRESSOR 1
AT1G03457	AT1G03457:BRN2	AtBRN2;BRN2:Bruno-like 2
AT1G03470	AT1G03470:NET3A	NET3A:Networked 3A
AT1G03475	AT1G03475:CPX1	ATCPO-I;HEMF1;LIN2:LESION INITIATION 2
AT1G03490	AT1G03490:NAC006	ANAC006:NAC domain containing protein 6;NAC006:NAC domain containing protein 6
AT1G03495	AT1G03495:3AT2	NA
AT1G03510	AT1G03510:PCMP-E3	NA
AT1G03520	AT1G03520	NA
AT1G03530	AT1G03530:ATNAF1	ATNAF1;NAF1:nuclear assembly factor 1
AT1G03540	AT1G03540:PCMP-E4	NA
AT1G03550	AT1G03550:SCAMP2	AtSCAMP4;SCAMP4:Secretory carrier membrane protein 4
AT1G03560	AT1G03560	NA
AT1G03590	AT1G03590:PPC6-6	NA
AT1G03600	AT1G03600:PSB27-1	PSB27
AT1G03610	AT1G03610	NA
AT1G03620	AT1G03620	NA
AT1G03630	AT1G03630:PORC	POR C:protochlorophyllide oxidoreductase C;PORC
AT1G03650	AT1G03650	NA
AT1G03660	AT1G03660	NA
AT1G03670	AT1G03670	NA
AT1G03680	AT1G03680:ATHM1	ATHM1:thioredoxin M-type 1;ATM1:ARABIDOPSIS THIOREDOXIN M-TYPE 1;THM1:thioredoxin M-type 1;TRX-M1:THIOREDOXIN M-TYPE 1
AT1G03687	AT1G03687	NA
AT1G03700	AT1G03700	NA
AT1G03710	AT1G03710	NA
AT1G03720	AT1G03720	NA
AT1G03730	AT1G03730	NA
AT1G03740	AT1G03740	NA
AT1G03750	AT1G03750:SWI2	CHR9:CHROMATIN REMODELING 9
AT1G03760	AT1G03760	NA
AT1G03770	AT1G03770:RING1B	ATRING1B:ARABIDOPSIS THALIANA RING 1B;RING1B:RING 1B
AT1G03780	AT1G03780:TPX2	AtTPX2;TPX2:targeting protein for XKLP2
AT1G03790	AT1G03790:SOM	AtTZF4;SOM:SOMNUS;TZF4:Tandem CCCH Zinc Finger protein 4
AT1G03800	AT1G03800:ERF10	ATERF10:ARABIDOPSIS THALIANA RF DOMAIN PROTEIN 10;ERF10:ERF domain protein 10
AT1G03810	AT1G03810	NA
AT1G03820	AT1G03820	NA
AT1G03830	AT1G03830	NA
AT1G03840	AT1G03840:MGP	MGP:Magpie
AT1G03850	AT1G03850:GRXS13	ATGRXS13:glutaredoxin 13;GRXS13:glutaredoxin 13
AT1G03860	AT1G03860:PHB2	ATPHB2:prohibitin 2;PHB2:prohibitin 2
AT1G03870	AT1G03870:FLA9	FLA9:FASCICLIN-like arabinoogalactan 9
AT1G03880	AT1G03880:CRB	CRB:CRUCIFERIN B;CRU2:cruciferin 2
AT1G03890	AT1G03890:CRD	NA
AT1G03900	AT1G03900:ATNAP4	ABCI18:ATP-binding cassette I18;ATNAP4:non-intrinsic ABC protein 4;NAP4:non-intrinsic ABC protein 4
AT1G03905	AT1G03905:ABCI19	ABCI19:ATP-binding cassette I19
AT1G03910	AT1G03910:CTN	CTN:CACTIN
AT1G03920	AT1G03920	NA
AT1G03930	AT1G03930:ADK1	ADK1:dual specificity kinase 1;CKL9ALPHA:CASEIN KINASE I-LIKE 9 ALPHA;CKL9BETA:CASEIN KINASE I-LIKE 9 BETA
AT1G03940	AT1G03940:3AT1	NA
AT1G03950	AT1G03950:VPS2.3	VPS2.3:vacuolar protein sorting-associated protein 2.3
AT1G03960	AT1G03960:B''EPSILON	NA
AT1G03970	AT1G03970:GBF4	GBF4:G-box binding factor 4
AT1G03980	AT1G03980:PCS2	ATPCS2:phytochelatin synthase 2;PCS2:phytochelatin synthase 2
AT1G03982	AT1G03982:RIC8	NA
AT1G03990	AT1G03990:FAO1	NA
AT1G04000	AT1G04000	NA
AT1G04010	AT1G04010:PSAT	ATPSAT1;ERP1:enhanced response to Phytophthora 1;PSAT1:phospholipid sterol acyl transferase 1
AT1G04020	AT1G04020:BARD1	ATBARD1;BARD1:breast cancer associated RING 1;ROW1
AT1G04030	AT1G04030	NA
AT1G04040	AT1G04040	NA
AT1G04050	AT1G04050:SUVR1	SDG13:SET DOMAIN PROTEIN 13;SUVR1:homolog of SU(var)3-9 1
AT1G04070	AT1G04070:TOM9-1	ATTOM22-I;TOM22-I:translocase of outer membrane 22-I
AT1G04080	AT1G04080:PRP39	PRP39
AT1G04090	AT1G04090	NA
AT1G04100	AT1G04100:IAA10	IAA10:indoleacetic acid-induced protein 10
AT1G04110	AT1G04110:SBT1.2	AtSDD1;SDD1:STOMATAL DENSITY AND DISTRIBUTION 1
AT1G04120	AT1G04120:ABCC5	ABCC5:ATP-binding cassette C5;ATABCC5:Arabidopsis thaliana ATP-binding cassette C5;ATMRP5:multidrug resistance-associated protein 5;MRP5:MULTIDRUG RESISTANCE PROTEIN 5;MRP5:multidrug resistance-associated protein 5
AT1G04130	AT1G04130:TPR2	AtTPR2;TPR2:tetratricopeptide repeat 2
AT1G04140	AT1G04140	NA
AT1G04150	AT1G04150	NA
AT1G04160	AT1G04160:XI-B	ATXIB:ARABIDOPSIS THALIANA MYOSIN XI B;XI-8:MYOSIN XI-8;XI-B:MYOSIN XI B;XIB:myosin XI B
AT1G04171	AT1G04171	NA
AT1G04180	AT1G04180:YUC9	YUC9:YUCCA 9
AT1G04190	AT1G04190:TPR3	TPR3:tetratricopeptide repeat 3
AT1G04200	AT1G04200	NA
AT1G04210	AT1G04210	NA
AT1G04220	AT1G04220:KCS17	KCS2:3-ketoacyl-CoA synthase 2
AT1G04230	AT1G04230	NA
AT1G04240	AT1G04240:IAA3	IAA3:indole-3-acetic acid inducible 3;SHY2:SHORT HYPOCOTYL 2
AT1G04250	AT1G04250:IAA17	AXR3:AUXIN RESISTANT 3;IAA17:indole-3-acetic acid inducible 17
AT1G04260	AT1G04260:PRA1D	MPI7:CAMV movement protein interacting protein 7;MPIP7:CAMV MOVEMENT PROTEIN INTERACTING PROTEIN 7;PRA1.D:PRENYLATED RAB ACCEPTOR 1.D
AT1G04270	AT1G04270:RPS15A	RPS15:cytosolic ribosomal protein S15
AT1G04280	AT1G04280	NA
AT1G04290	AT1G04290	NA
AT1G04300	AT1G04300	NA
AT1G04310	AT1G04310:ERS2	ERS2:ethylene response sensor 2
AT1G04330	AT1G04330	NA
AT1G04340	AT1G04340	NA
AT1G04350	AT1G04350	NA
AT1G04360	AT1G04360:ATL1	NA
AT1G04370	AT1G04370:ERF14	ATERF14:Ethylene-responsive element binding factor 14;ERF14:Ethylene-responsive element binding factor 14
AT1G04380	AT1G04380	NA
AT1G04390	AT1G04390	NA
AT1G04400	AT1G04400:CRY2	AT-PHH1;ATCRY2;CRY2:cryptochrome 2;FHA;PHH1
AT1G04410	AT1G04410:MDH1	c-NAD-MDH1:cytosolic-NAD-dependent malate dehydrogenase 1
AT1G04420	AT1G04420	NA
AT1G04430	AT1G04430	NA
AT1G04440	AT1G04440:CKL13	CKL13:casein kinase like 13
AT1G04445	AT1G04445	NA
AT1G04450	AT1G04450:RIC3	RIC3:ROP-interactive CRIB motif-containing protein 3
AT1G04470	AT1G04470	NA
AT1G04480	AT1G04480:RPL23C	NA
AT1G04490	AT1G04490	NA
AT1G04500	AT1G04500	NA
AT1G04501	AT1G04501	NA
AT1G04510	AT1G04510:PRP19A	MAC3A:MOS4-associated  complex 3A
AT1G04520	AT1G04520:CRRSP3	PDLP2:plasmodesmata-located protein 2
AT1G04530	AT1G04530:TPR4	TPR4:tetratricopeptide repeat 4
AT1G04540	AT1G04540	NA
AT1G04550	AT1G04550:IAA12	BDL:BODENLOS;IAA12:indole-3-acetic acid inducible 12
AT1G04555	AT1G04555	NA
AT1G04560	AT1G04560	NA
AT1G04570	AT1G04570	NA
